a	एक
obstipant	स्तम्भक
obstreperous	ऊधमी,उपद्रवी
obstrnet	रोध लगाना
obstruct	बाधा डालना,रोकना
obstructer	विरोधी
obstruction	अवरोधन,बाधा,रूकावट
obstructionism	प्रतिरोध.नीति
obstructionist	प्रतिरोधवादी,विरोधी,प्रतिरोधवादी
obstructive	बाधक
obstructively	प्रतिरोधात्मक ढंग से
obstructor	विघ्नकर्ता
obstrude	थोपना
obstruent	अवरोधक
obtain	पाना,प्राप्त करना
obtainable	प्राप्य
obtected	आच्छादित
obtrude	अनुचित रूप से थोपना,बाहर निकालना,दखलदेना
obtruncate	फुनगी काटना,सिर काटना
obtrusion	आरोपण,अनाधिकृत प्रवेष
obtrusive	बाधक,दु:स्साहसी,ढीठ
obtrusively	बाधक रूप से
obtrvive	पीड़ादायक
obtund	निस्तेज या कुण्ठित कर देना
obturate	बन्द करना
obtuse	कुंठित,मन्दबुद्धि
obtusely	मूर्खतापूर्वक
obtuseness	मंदता,भोथरापन
obverse	मुख,चेहरा,चित,सीधा
obversion	प्रतिवर्तन
obvert	पर्रतिवर्तित करना
obviate	निराकरण,दूर करना,हटाना
obvious	प्रत्यक्ष,प्रकट
obviously	स्पष्टः,स्पष्ट रुप से
obviousness	स्पष्टता
ocarina	ओकेरिना
occasion	अवसर,सुयोग
occasional	अनियमित,विरल,प्रासंगिक
occasionally	कभी.कभी
occcurrence	घटना
occident	पश्चिम
occidental	पाश्चात्य
occidentalise	पश्चिमीकरण करना,पाश्चात्यीकरण करना
occidentalize	पश्चिमीकरण करना,पाश्चात्यीकरण करना
occipitalbone	पश्चकपाल अस्थि
occiput	अनुकपाल
occlude	बन्द करना,अवरूद्ध करना
occlusion	संरोधन,अवरोधन
occlusive	संरोधक
occlusor	संवारक
occult	गुप्त
occupancy	दखल,कब्जा
occupant	अधिभोक्ता,पदाधिकारी,वासी
occupation	ब्यवसाय,पेषा,दखल,कब्जा,अधिकार
occupational	व्यावसायिक
occupied	अधिकृत,व्यस्त,भराहुआ
occupier	दखलदार,पदाधिकारी
occupy	अधिकार मे करना,दखल करना,निवास करना,घेरना
occur	घटित होना,सूझना,पायाजाना
occurence	घटना
occurrence	घटना,उपस्थिति
ocean	महासागर
oceangoing	गहरे समुद्र में यात्रा योग्य
oceanic	महासागरीय,महासागरीय
oceanographer	समुद्र.विज्ञानी
oceanography	महासागरों का अभ्यास
ocellus	नेत्रक
ocelot	लेटिन अमेरिकन बिल्ला
ocher	गेरुए रंग का,गेरुआ रंग,गेरू
ochlocracy	भीड तंत्र
ochre	गेरु,गैरिक
oclock	समय बताने केलिए
ocrea	परिवेष्टक
octachord	अठतारा,अष्ठसवरग्राम
octad	अष्टक
octagon	अष्टभुज
octagonal	अष्टभुजाकार
octahedral	अष्टफलकीय
octane	आंक्टेन
octangular	अष्टकोण
octant	अष्टमांशक,अष्टक
octastyle	अष्टस्तंभ
octave	अष्टक,अठवारा,अष्टमी
octavo	अठपेजी
octennial	अष्टवर्षीय
octet	अष्टक
octingentenary	अष्टशताब्दी
october	अक्तुबर
octodecimo	अठारहपेजी
octogenarian	अशीति. वर्षीय
octogenerian	अस्सी से ज्यादा लेकिन नब्बे से कम उम्रवाला
octonal	अष्टक
octopod	अष्टपाद
octopus	अष्टभुज
octosyllabic	अष्टाक्षरीय
octroi	चुंगी
octuple	अठगुना
ocular	नेत्र,नेत्राकार
oculist	नेत्रचिकित्सक
oculus	आँख
odalisque	दासी
odd	विषम,ताक,अनोखा,अकेला
oddity	विचित्रता
oddly	आश्चर्यजनक रूप से,अजीब तरह से
oddment	अनोखी वस्तु,बचा हुआ टुकड़ा,कपड़े का बचा हुआ अंतिम टुक्स्ड़ा
oddness	विचित्रता
odds	अन्तर,विषमता
ode	सम्बोध. गीति
odeum	संगीतशाला
odious	घ्रणित,अप्रिय
odiousness	आक्रामकता
odium	द्वेष,कलंक
odometer	चक्करमापी
odontalgia	दन्त शूल
odontiasis	दंतुरण
odontology	दन्तविज्ञान
odor	गंध,दुर्गंध
odoriferous	सुगन्ध,सुगन्धित
odorless	गंधहीन
odorous	सुगन्ध,सुगन्धित
odour	गन्ध,बू
odourless	गंधहीन
odyssey	भ्रमण
oecology	पारिस्थितिकी
oecumenical	सार्वभौम,एकता विषयक
oedema	षोफ
oenophile	वाइन प्रेमी
oenophilist	वाइन प्रेमी
oesophageal	ग्रसिका
oesophagus	भोजन.नलिका
oestrogen	एस्ट्रोजिन
oestrus	गोमक्षिका,उन्माद
oeuvre	संपूर्ण कृतियाँआँ
of	का,की,के,से
off	अलग,प्रथक,दूर,बन्द,से
offal	कूडा करकट
offbeat	अपारंपरिक,अनोखा
offcast	परित्यक्त
offchance	अल्पसंभावना
offcolour	अस्वस्थ
offence	अपराध,दोष
offend	अपराध करना,भंग करना,उल्लघंन
offended	अप्रसन्न
offender	उल्लंघन करने वाला,अपराधी
offending	उल्लंघन करने वाला
offense	अपराध,दोष
offensive	घिनावना,आक्रमक
offensively	अप्रिय ढंग से,आपत्तिजनक ढंग से,आक्रामक रूप से
offensiveness	आक्रामकता
offer	अर्पण,प्रस्ताव,प्रस्तुत करना
offering	अपर्ण,चढ़ावा,दान,आहुति
offertory	अपर्ण,चढ़ावा,दान
offhand	तुरन्त,तत्काल
offhanded	बिना पूर्वाभ्यास का
offhandedly	रूखेपन से,तुरंत
office	पद,कार्यालय
officer	पदाधिकारी,अधिकारी
official	आधिकारीक,सरकारी,राजकीय
officialdom	अधिकारी वर्ग
officialese	दफतरी भाषा
officially	सरकारी तौर पर
officiant	अनुष्ठता
officiary	पदीय
officiate	किसी पद कर काम करना
officiating	स्थानापन्न
officinal	अधिकृत
officious	दस्तंदाज,अनौपचारिक
officiously	दस्तंदाज़ी करते हुए
officiousness	दस्तंदाज़ीई
offing	दृष्ट क्षितिज
offload	जिम्मे करना,खाली करना
offsaddle	जीन उतारना
offscourings	कूड़ा- करकट
offset	भूस्तरी,षाखा,अन्तर्लम्ब,मोड़
offshoot	प्रशाखा
offshore	अपतट,तट से दूर
offside	परले सिरे का,बाहई सीमा के पार,दाहिनी दिशा,परला सिरा
offsides	परले सिरे का,बाहई सीमा के पार,दाहिनी दिशा,परला सिरा
offspring	सन्तान,उपज,परिणाम
offstage	नेपथ्य
oft	अक्सर
often	अकसर,प्राय:
ogdoad	अष्ट अष्टक
ogive	तोरण
ogle	से आॅंख लड़ाना,चितवन
ogre	राक्षस
oh	हे
ohm	ओम
oil	तेल,तैल
oilcake	खली
oilcan	तेल का डिब्बा
oilcloth	मोमजामा
oilfield	तेल.क्षेत्र
oiliness	तैलक्तता,चाटुकारिता
oilman	तेलवाला
oilskin	चर्म.वस्त्र,मोमजामे का बना वस्त्र,मोमजामा
oily	तेल के समान,तेलयुक्त,चाटुकारितापूर्ण
ointment	विलेप,मरहम
okay	राजी होना,विल्कुल ठिक,ठिक है,ठिक,अनुमति,हाँ
okra	भिण्डी
old	बूढ़ा,पुराना
olden	प्राचीन
oldfashioned	पुराना,पुरानी चाल
oldster	वृद्ध व्यक्ति
oldtimer	अनुभवी व्यक्ति,पुराना सिपाही
oleaginous	चाटुकारितापूर्ण
oleaginousness	तैलक्तता,चाटुकारिता
oleander	कनेर
oleaster	जंगली जैतून
olecranon	कर्पूर
oleic	तैल
oleograph	रंगीन शिलामुद्र
olfaction	घ्राणेन्द्रिय,सूघॅना
olfactory	घ्राणेंद्रिय.विषयक
olibanum	लोबान
olid	बदबूदार
oligarchical	अल्पतंत्रीय
oligarchy	अल्पतांत्रिक.अधिकारी,अल्पतंत्र,अल्पतांत्रिक देश
olio	खिचड़ी
olivaceous	जैतूनी
olivary	जैतून - जैसा
olive	जैतून
olympic	ओलिंपिक
omasum	तृतीय आमाशय
ombudsman	प्रशासनिक शिकायत जाँच अधिकारी
omega	ओमेगा
omelet	आमलेट
omelette	ऑमलेट
omen	षकुन,लक्षण
omentum	वपा
ominous	षकुनात्मक
omissible	लोप्य,त्याज्य
omission	अकरण,विलोपन,चूक
omissive	अकरणात्मक,असावधान
omit	छोड़ देना,नहीं करना
ommatidium	नेत्रांशक
omnibus	बस,सर्वसगं्रह
omnidirectional	सर्वदिशिक
omnifarious	बहुविध
omnipotence	सर्वशक्तिमता
omnipotent	सर्व.शक्ति.मान
omnipresence	सर्वव्यापिता
omnipresent	सर्वव्यापी
omniscience	सर्वज्ञता
omniscient	सर्वज्ञ
omniumgatherum	घाल- मेल
omnivorous	सर्वभक्षी,सर्वाहारी
omophagous	कच्चा मांस खानेवाला
omoplate	स्कन्धास्थि
omphalos	उभार
on	पर,के पास,के उपर,को
onager	गोरखर
onanism	अपूर्ण मैथुन
onboard	सवार
once	एक बार,किसी समय,कभी
oncoming	अपगामी,आगामी
one	एक
oneact	एकांकी
oneirism	दिवास्वप्न
oneirocritic	स्वप्न- सगुनिया
oneiromancy	स्वप्न- सगुनौती
oneness	एकात्मकता
onerous	भारी,दूभर
oneself	खुद,अपने आप को,स्वंय,स्वंय
ongoing	चलता आ रहा,जारी
onion	प्याज,पलाण्डू
online	ऑन.लाइन,ऑनलाइन,ऑनलाइन
onlooker	दर्शक
only	अकेला,केवल,सिर्फ,मात्र
onlybegotten	एकलौता
onomastic	नाम,नामिक
onomatology	नाम- विज्ञान
onomatopoeia	ध्वनि- अनुकरण
onomatopoeic	ध्वनि अनुकरणात्मक
onomatopoetic	ध्वनि अनुकरणात्मक
onrush	प्रवाह,आक्रमण
onset	आक्रमण,प्रारम्भ
onshore	अभितट,तटवर्ती
onslaught	आक्रमण चढ़ाइर्र
onstage	मंच पर होने वाल्,मंच पर
onto	पर
ontogeny	व्यक्तिवृत
ontological	सात्विक,सत्तामूलक
ontology	सत्ता मीमांसा
onus	भार दायित्व
onward	आगे,अग्रसर
onychophorous	नखी
onymous	सनाम
onyx	सुलेमानी
oocyst	युग्मक- पुटी
oocyte	डिम्बाणुजनकोशिका
oodles	ढेर सारा
oogamous	विषमयुग्मकी
oogenesis	डिम्बाणुप्रसूजन
oolite	डिम्बाश्म
oology	डिम्बविज्ञान
oomph	जोश,यौनाकर्षण
ooplasm	अण्डकद्रव्य
oosperm	निषिक्ताण्ड
oosphere	अण्डकगोल
ooze	पंक,सिन्धुपंक,दलदल
oozing	रिसने वाला,स्रावी
oozy	निस्यन्दी,दलदली
op	ऑपरेशन
opacity	अपारदर्शिता
opal	दूधिया
opalescence	दूधियापन
opalescent	सतरंगा
opaline	दूधिया
opaque	अपारदर्शी
open	खुला,अरक्षित,प्रकट,खाली,मुक्त
openair	बाहरी
opencast	खुली खुदाई वाल्
opener	प्रारंभिक बल्लेबाज़,प्रारंभिक चरण,खोलने वाला,खोलने वाला
opening	उद्घाटन,प्रारम्भ,छेद,मुख,खुलीजगह,खोलना
openly	खुल्लमखुला,खुलकर
openminded	उदारमति
openmouthed	मुॅह बाए,लोभी
openness	खुलापन,उदारता
openwork	जाली
opera	गीति- नाटय,संगीतक
operable	षल्यकरणीय
operant	चलता,सक्रिय,कारगर
operate	चलाना,परिचालन करना,षल्यक्रिया,कार्यवाही
operatic	सांगीतीय
operating	परिचालन
operation	प्रचालन,सचांलन,प्रक्रिया,कार्यवाही,षल्यक्रिया
operational	जारी,क्रियाशील,प्रक्रिया से संबंधित,परिचालन का,सामरिक,परिचालन.संबंधी,काम में आने लायक
operative	चालू,कारगर,व्यवहारिक
operator	प्रचालक,कर्ता,सचांलक
operetta	गीति- नाटिका
operose	श्रमसाध्य,मेहनती
ophicephalous	सर्पशीर्ष
ophthalmia	नेत्रप्रदाह
ophthalmic	नैत्र
ophthalmitis	नेत्रशोथ
ophthalmologist	नेत्रविज्ञानी
ophthalmology	नैत्रिकी
opiate	स्वापक,मन्द कर देना
opine	समझना,कहना
opinion	विचार,राय,मत
opinionated	दुराग्रही
opinionative	दुराग्रही
opium	अफीम
opossum	ओपोसम
oppidan	नगरनिवासी
oppilate	अवरूद्ध करना
opponent	प्रतिपक्षी,विरोधी,प्रतिद्वन्दी
opportune	उपयुक्त,संगत
opportunely	मौके पर
opportunism	अवसरवादिता,अवसरवाद
opportunist	समयानुवर्ती,अवसरवादी
opportunistic	समयानुवर्ती
opportunity	सुअसवर,मौका
opposable	विरोधनीय
oppose	का विराध करना,सामना करना
opposed	विरोधी,खिलाफ़
opposer	विरोधी
opposing	विरोधी
opposite	प्रतिमुख,सम्मुख,विरूद्ध,विपरीत,उलटा
opposition	विरोध,प्रतिरोध,विरोधी दल
oppositional	विपक्षी
oppress	दमन करना,विषादग्रस्त करना
oppressed	दबा हुआ,उत्पीड़ित,दलित
oppression	दमन,अत्याचार
oppressive	अत्याचारी,कठोर,कष्टकर
oppressively	उमसदार ढंग से,दमनात्मक ढंग से
oppressiveness	विषाद
oppressor	अत्याचारी,तानाषाह
opprobrious	अपमानजनक
opprobrium	अपयश,अपकीर्ति,बदनामी,तिरस्कार
oppugn	खण्डन करना
opress	दमन करना
opt	चुनना,पसन्द करना
opthalmic	दृक्
optic	दृष्टि
optical	दृष्टि,प्रकाष
optically	दृष्टिगत रूप से
optician	चश्मेवाला
optics	प्रकाश- विज्ञान
optimal	सर्वोत्कृष्ट
optimise	आशावादी होना,सबसे बेहतर ढंग से उपयोग में ल्ना
optimism	आशावाद
optimist	आशावादी
optimistic	आशावादी
optimistically	आशावादी ढंग से
optimize	आशावादी होना,सबसे बेहतर ढंग से उपयोग में ल्ना
optimum	अनुकूलतम,आदर्ष,श्रेष्ठ
option	विकल्प
optional	वैकल्पिक
optometer	दृष्टिमापी
optophone	आलोकभाषा
opulence	धन- सम्पति,बहुतायत,प्रचुरता
opulent	भव्य,शानदार,कीमती,वैभवपूर्ण,समृद्ध
opulently	वैभवपूर्ण ढंग से,आलीशान ढंग से
opus	रचना
opuscule	लघुरचना
or	अथवा,या,व
oracle	देववाणी
oracular	देववाणी- सदृश,प्रामाणिक
oral	मौखिक,जबानी
orally	मुँह से,मौखिक रूप से
orange	नारंगी,सन्तरा
orangeade	संतरे का शर्बत
orangery	नारंगी वाटिका
orangoutang	ओरग उटान
orate	भाषण झाड़ना
oration	भाषण,सम्भाषण,व्याख्यान,निवेदन
orator	वक्ता,वाग्मी
oratorical	भाषण विषयक
oratorio	संकीर्तन
oratory	प्रार्थनागृह
orb	गोला,मण्डल,वृत
orbicular	गोलाकार
orbit	नेत्र- कौटर,कक्षा,परिक्रमापथ,कार्यक्षेत्र,वातावरण
orbital	परिक्रमा पथ सम्बंधी,कक्षीय,नेत्रगुहा सम्बंधी,वर्तुल सड़क
orchard	फलोद्यान
orchestic	नृत्य
orchestra	वाद्य- मण्डल
orchestral	ऑर्केस्ट्रा का
orchestrate	योजना बनाना,गुप्त रूप से आयोजित करना,वाद्यवृंद के लिये संगीत रचना करना
orchestration	वाद्यवृंदकरण,आयोजन
orchestrator	वाद्यवृंदकार
orchid	आॅर्किड
orchitis	वृषणशोथ
ordain	निश्चय करना,आदेष देना
ordeal	दिव्य,सत्यपरीक्षा
order	वर्ग,गण,श्रेणी,अनुक्रम,क्रम,आदेष,हुक्म,आज्ञा,माॅंग,दषा
ordered	सुव्यवस्थित,क्रमवार,तर्कसंगत
orderliness	नियमितता,सुव्यवस्था
orderly	अर्दली,क्रमबद्ध,व्यवस्थित
ordinal	क्रमसूचक,वर्गीय
ordinance	अध्यादेश,प्रथा
ordinand	अभिषेष्य
ordinant	अभिषेक्ता
ordinarily	साधारणतया
ordinary	मामूली,सामान्य,साधारण
ordinate	कोटि
ordination	अभिषेक,विधान
ordinee	नव- अभिषिक्त
ordnance	तोपखाना,आयुध विभाग
ordonnance	विन्यास,अध्याधेष
ordure	गन्दगी,मैल,गाली
ore	कच्ची धातू,अयस्क
oread	पर्वत-परी
orectic	इच्छामूलक
oregano	ऑरिगैनो,अजवाइन
organ	वाद्यराज,आर्गन,अवयव,अगं,साधन
organdie	महीन मलमल
organdy	अरगंडी
organic	जैव,सघंटित,मूलभूत
organically	कार्बनिक रूप से,संघटित रूप से,जैविक रूप से
organicism	अवयववाद
organisation	संगठन,संगठन,संस्था,व्यवस्थापन
organisational	व्यवस्थापन संबंधी
organise	संगठित होना,योजना बनाना,सुनियोजित करना,सुव्यवस्थित करना,संगठित करना,सुव्यवस्थित करना,आयोजित करना
organised	सुनियोजित,संगठित,व्यवस्थित
organiser	निजी संगणकीय सहायक,व्यवस्थित ढंग से काम करने वाला,संगठक,आयोजक
organism	जीव,अवयवी
organist	आर्गन बजाने वाला
organizable	संघटनीय
organization	संगठन,सघंटन,व्यवस्था,प्रबन्ध,सस्थां
organizational	व्यवस्थापन संबंधी,संगठन.संबंधी,संगठन.संबंधी,संगठन.संबंधी
organize	संघटित,प्रबन्ध करना
organized	सुनियोजित,संगठित,व्यवस्थित,व्यवस्थित,संगठित,एकीकृत
organizer	निजी संगणकीय सहायक,व्यवस्थित ढंग से काम करने वाला,संगठक,आयोजक
organogen	जैवतत्व
organum	ज्ञान- साधन
orgasm	उन्माद,प्रबल उत्तेजना,कामोताप
orgasmic	कामोन्माद संबंधी
orgeat	बादाम- शरबत
orgiastic	व्यभिचारपूर्ण
orgnise	संगठित करना,आयोजित करना
orgy	रहस्यानुष्ठान,व्याभिचार,अतिरेक
oriel	गवाक्ष,झरोखा
orient	पूर्व,प्राची,चमक,अनुकूल बनाना
oriental	पूर्वी,पूरबी,पूर्वदेषी
orientalist	प्राच्यविद
orientate	पूर्व की ओर अभिमुख होना,दिषा बताना
orientation	दिशा निर्धारण,स्थिति
orienteering	मार्ग.निर्धारण खेल
orifice	रन्ध्र,छिद्र,सूराख
oriflamme	केतु,रणपताका
origan	मरूवक
origin	उत्पति,उद्भव,उद्गम,मूल,आरंभ,वषं,कारण
original	मूल,प्रारंभिक,मौलिक,असली
originality	नवीनता,मौलिकता,असलियत
originally	शुरु शुरु में,स्पष्टतः
originate	प्रारंभ,आरंभ,उत्पन्न होना
originator	प्रवर्तक
orinasal	मुखनासिक
oriole	पीलक
orion	ओरायन,मृग
orison	प्रार्थना
orlop	निम्नतम डेक
ormer	घोंघा
ormolu	नकली सोना
ornament	आभूषण,गहना,अलंकार
ornamental	शोभाप्रद
ornamentation	सजावट
ornate	अलंकृत
ornately	अलंकृत ढंग से
ornery	चिड़चिड़ा
ornithic	खग,पक्षी
ornithological	पक्षीविज्ञान.संबंधी
ornithologist	पक्षिविज्ञानी
ornithology	पक्षीविज्ञान
orogenesis	पर्वतोत्पति
orography	पर्वत- विज्ञान
orology	पर्वत- विज्ञान
orotund	उदात,ऊॅचा,आडम्बरपूर्ण
orphan	अनाथ,यतीम
orphanage	अनाथालय,यतीमखाना
orphaned	अनाथ
orphanhood	अनाथावस्था
orphic	मधुर,मोहक
orpiment	हरताल
orrery	कृत्रिम सौर- मण्डल
orrisroot	वासमूल,केवडे़ का मूल
orthodontia	दंत संशोधन
orthodontic	दंत संशोधन संबंधी
orthodontics	दंत संशोधन
orthodontist	दंत संशोधक
orthodonture	दंत संशोधन
orthodox	षास्त्रसम्मत,यथार्थ,प्रामाणिक सनातन,रूढ़ीवादी
orthodoxy	षास्त्रासम्मतता
orthoepy	षुद्धोच्चारण
orthogonal	आयतीय
orthographic	वर्तनी- विषयक,षुद्ध
orthography	वर्तनी
orthology	अर्थविज्ञान
orthopaedic	विकलांग.चिकित्सा संबंधी
orthopaedics	विकलांग.विज्ञान
orthopedic	विकलांग.चिकित्सा संबंधी
orthopedical	विकलांग.चिकित्सा संबंधी
orthopedics	विकलांग- विज्ञान,हड्डी रोग विज्ञान
orthoscopic	याथार्थचित्री
orthotropic	,ऋजुु
ortolan	पीठकण्ठ
oryx	हिरण
oscillate	झूलना,डोलना,दोलन,घटना बढ़ना
oscillation	दोलन,दोलन,अर्ध.दोलन
oscillator	दोलक,कंपित्र
oscilloscope	दोलन.दर्शी यंत्र,दोलन.दर्शी
oscitance	जम्हाई,उबासी
oscitancy	उनींदापन,तन्द्रा
oscitant	ऊँघता हुआ,ऊबा हुआ
osculant	आश्लेषी,मध्यवर्ती
oscular	मुख का,चुम्बन
osculate	स्पर्श करना या कराना
osculatory	चूमनेवाला
osculum	चुम्बन
osier	बेंत
osmosis	परासरण
osmotic	परासरणी
osprey	मछारंग
osseous	अस्थ्मिय
ossicle	अस्थिका
ossiferous	अस्थिविकास
ossification	रूढ़िवादिता,अस्थिविकास,अस्थीभवन,कट्टरपन
ossify	अस्थि बनना,कठोर
ossuary	अस्थिपात्र
osteal	अस्थिमय,अस्थिनिर्मित
osteitis	अस्थिशोथ
ostensible	प्रकट,प्रत्यक्ष,तथाकथित
ostensibly	प्रकट रुप से
ostension	प्रदर्शन
ostensive	प्रत्यक्ष,प्रकट
ostensory	प्रदशिका
ostentation	आडम्बर,तडक- भडक
ostentatious	भड़कीला,दिखावटी,आडंबरपूर्ण
ostentatiously	भड़कीले ढंग से
ostentatiousness	दिखावा,आडंबर
osteoarthritis	अस्थि संधि शोथअ
osteoblast	अस्थिकोशिकाप्रस
osteogenesis	अस्थिजनन
osteoid	अस्थिकल्प
osteology	अस्थिविज्ञान
osteomalacia	अस्थिमृदुता
osteopath	अस्थिचिकित्सक
osteopathic	अस्थिचिकित्सा संबंधी
osteopathist	अस्थिचिकित्सक
osteopathy	अस्थिचिकित्सा
osteoporosis	अस्थि.सुषिरता
osteotomy	अस्थिविच्छेदन
ostiary	द्वारपाल
ostiole	आयस्क,मुख
ostium	आस्य
ostler	साईस
ostracise	निष्कासित करना,बहिष्कृत करना
ostracism	निर्वासन,देशनिकाला,बहिष्कार
ostracize	निष्कासित करना,बहिष्कृत करना
ostrich	षुतुमुर्ग
otalgia	कर्णशूल
other	अतिरिक्त,दूसरा,अन्य,और
otherness	अन्यत्व,भिन्नता
otherwise	अन्यथा
otherworldliness	पारलौकिकता
otic	कर्ण
otiose	बेकार,निठल्ला
otitis	कर्णशोथ
otocyst	श्रवण- पुटी
otter	ऊदबिलाव
oubliette	गुप्त कालकोठरी
ouch	हाय
ought	कुछ भी,किंचित,कर्तव्य,चाहिये
ouija	प्रश्न- फलक
ounce	आउन्स,थोड़ा सा
our	हमारा
ours	हमाराआ
ourselves	हम स्वयं,हम खुद
oust	बेदखल करना,निकाल देना,हटाना
ouster	बेदख़ली
out	बाहर
outage	बिजली के बिना कालावधि
outback	तट से सुदूरवर्ती क्षेत्र
outbalance	से भारी,महत्वपूर्ण या बढ़ कर
outbid	से बढ़ कर बोली लगाना
outblowing	बहिर्गामी
outboard	बाहरी
outborn	वहिर्जात
outbound	निगामी
outbrag	से ज्यादा शेखी बघारना
outbrave	का सामना करना
outbreak	प्रादुर्भाव,आरंभ,विद्रोह
outbreeding	बहि:प्रजनन
outbuilding	उपभवन,उपगृह
outburst	प्रस्फोटन,विस्फोट,प्रकोप,ठहाका
outcast	बहिष्कृत,निर्वासित
outcaste	जातिवहिष्कृत
outclass	से बढ़कर होना
outcome	परिणाम,नतीजा,निष्कर्ष
outcrop	दृश्यांश
outcropping	पृथ्वी की सतह से ऊपर निकला चट्टानी अंश
outcry	चिल्लाहट
outdated	पुराना,यातयाम
outdistance	पीछे छोड़ना
outdo	से बढ़कर,हरा देना
outdoor	बाहरी
outdoors	खुले मैदान में,बाहर
outer	बाहय
outermost	सबसे ज्यादा केन्द्रावसारी
outface	घूरना,सामना करना
outfall	मुहाना दहाना
outfield	बाहरी खेत
outfielder	खेलपट्टी से दूर कोने में खैलता खिलाड़ी
outfight	से ज्यादा बेहतर लड़ना
outfit	सज्जा,उपकरण
outfitter	पुरुष.वस्त्र विक्रेता,मैदानी केलों के सामान की दुकान,पुरुष.वस्त्रालय
outfitters	कपड़ों का व्यापारी
outflank	बाजू से होकर जाना,पीछे से हमला
outflow	बाहिर्वाह,नि:स्राव
outfox	मात कर देना,चालाकी में हरा द एना
outgoing	निर्गामी,पदमुक्त,लागत
outgoings	लागत
outgrow	से अधिक बढ़ जाना
outgrowth	अपवृद्धि,परिणाम
outgun	से अधिक सैन्यशक्ति होना
outhouse	उपभवन
outing	भ्रमण,सैर
outlandish	विदेशी,देहाती
outlandishly	अनोखे ढंग से,विचित्र ढंग से
outlandishness	विचित्रता
outlast	से अधिक समय तक टिकना
outlaw	विधिबहिष्कृत
outlawed	गैरकानूनी
outlawry	विधिहीनता,अराजकता
outlay	लागत,व्यय
outlet	निर्गम,निकास
outlier	बहिर्वासी
outline	रूपरेखा,बहिर्रेखा,खाका,रेखाचित्र
outlive	अधिक जीना,से अधिक समय तक टिका रहना
outlook	चैकसी,दृष्टिकोण
outlying	दूरस्थ
outmaneuver	मात कर देना
outmanoeuvre	मात कर देना
outmatch	से बढ़कर होना
outmoded	पुराना
outmost	बाह्यतम
outnumber	सखंया में अधिक होना
outpace	से अधिक बढ़ जाना
outpatient	बाहरी रोगी
outperform	से बेहतर परिणाम देना
outplay	हरा देना
outpoint	ज्यादा प्राप्तांक पाकर हराना
outpost	चैकी,नाका
outpouring	बहुत ही ज्यादा उत्पादन
outpourings	अत्युत्कट आविष्कार
output	नतीजा,उत्पादन
outrage	अत्याचार,उल्लघंन करना,धोर अपमान
outrageous	चौंका देने वाला,घृणित,बेहिसाब
outrageously	खराब ढंग से,अत्य्धिक
outrank	पद में ऊपर होना
outre	विचित्र
outre	हक्काबक्का करनेवाला
outreach	पहुँच,सेवा.संस्था की सहायता
outrider	अनुरक्षक
outright	पूर्णतया,एकदम,तुरंत,साफसाफ
outroot	उखाड़ना,उन्मूलन करना
outrun	से आगे निकलना,से जल्दी दौड़ना
outscore	अधिक अंक ले कर हरा देना
outsell	से अधिक बिकना,से अधिक बेचना
outset	शुरुवात से ही
outshine	से श्रेष्ठ होना,से अधिक चमकदार होना
outshout	से अधिक ज़ोर से चिल्लाना
outside	बाहर,बाहरी हिस्सा
outsider	बाहर का आदमी,बाहरी व्यक्ति
outsize	सामान्य से अधिकबड़ा,अतिकाय
outsized	सामान्य से अधिकबड़ा,अतिकाय
outskirts	परिसर,बाहरी क्षोर
outsmart	मात कर देना,चालाकी में हरा द एना
outspoken	स्पष्टवादी,खरा
outspokenly	खुल्लम.खुल्ला
outspokenness	मुँहफ़टपना
outspread	बहुत दूर तक फैला हुआ
outstanding	बकाया,विशिष्ट
outstandingly	उल्लेखनीय रूप से,असाधारण रूप से
outstare	घूरना
outstation	दूर की बस्ती
outstay	से अधिक ठहरना,से  अधिक टिकना
outstretched	फैलाया हुआ
outstrip	से अधिक बढ़ जाना,पीछे छोड़ देना,स बढ़ कर होना
outward	बाहर की ओर,उपरी सतह,बाहरी रूप
outwardly	बाहर से,देखने में
outwards	बाहर की ओर
outweigh	अधिक भारी होना,से अधिक होना
outwit	मात कर देना,चालाकी में हरा द एना
outworn	जीर्ण
ouzo	मादक पेय
oval	अण्डाकार
ovarian	बीज़कोश सम्बन्धी
ovaritis	डिम्बग्रन्थि शोथ
ovary	अण्डाशय
ovate	अण्डाकार
ovation	जयजयकार,शाबाशी
oven	चूल्हा,तन्दूर
ovenproof	तंदूर में रखने योग्य
ovenready	भट्टी के लिए उपयुक्त
ovenware	ताप.प्रतिरोधक पात्र
over	अतिरेक,शेष,उपर,खतम,समाप्त,से अधिक
overabundance	प्रचुरता
overact	कृत्रिम अभिनय करना
overactive	अतयाधिक सक्रिय
overage	अधिकवय
overall	कुल,समस्त
overappraisal	अधिमूल्यांकन
overarching	अति महत्वपूर्ण
overarm	बाँह उठा कर किया गया,बाँह उठा कर
overawe	आतकिंत करना
overawed	आतंकित
overbalance	अतिभार,गिर जाना
overbearing	मनमानी करनेवाला
overblown	बहुत तूल दिया हुआ,अतिविकसित
overboard	नाव पर से पानी में,जहाज पर से पानी में
overbook	जरूरत से ज्यादा आरक्षण करना
overburden	अधिक बोझ डालना,अधिक ज़िम्मेदारी डालना
overburdened	अत्यधिक बोझ से दबा हुआ
overcast	आच्छादित
